name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
Kepler-109 c,0.06859,0.06859,0.0,0.0,0.0,0.225,0.006
Kepler-10 b,0.01019,0.00101,0.00101,0.0,0.0,0.1311,0.0018
Kepler-10 c,0.03552,0.0038,0.0038,0.0,0.0,0.2101,0.00196
Kepler-10 d,0.038,0.00676,0.00676,0.00676,0.00676,0.67535,0.0
Kepler-113 b,0.037,0.013,0.013,0.0,0.0,0.162,0.004
Kepler-113 c,0.02737,0.0,0.0,0.027,0.0,0.194,0.005
Kepler-114 b,0.022,0.01,0.01,0.0,0.0,0.112,0.012
Kepler-114 c,0.009,0.002,0.002,0.0,0.0,0.143,0.016
Kepler-114 d,0.012,0.005,0.005,0.0,0.0,0.226,0.007
Kepler-117 b,0.094,0.033,0.033,0.0,0.0,0.719,0.024
Kepler-117 c,1.84,0.18,0.18,0.0,0.0,1.101,0.035
Kepler-11 b,0.006,0.003,0.004,0.0,0.0,0.161,0.004
Kepler-11 c,0.009,0.005,0.009,0.0,0.0,0.256,0.005
Kepler-11 d,0.023,0.005,0.003,0.0,0.0,0.278,0.006
Kepler-11 e,0.025,0.007,0.005,0.0,0.0,0.374,0.008
Kepler-11 f,0.006,0.003,0.003,0.0,0.0,0.222,0.006
Kepler-11 g,0.079,0.0,0.0,0.0,0.0,0.297,0.007
Kepler-122 f,0.113,0.051,0.061,0.0,0.0,0.156,0.014
Kepler-128 b,0.00242,0.00079,0.00151,0.0,0.0,0.128,0.008
Kepler-128 c,0.00283,0.00091,0.00182,0.0,0.0,0.12,0.007
Kepler-129 d,6.338,0.1353,0.1353,0.1353,0.1353,0.67535,0.0
Kepler-12 b,0.432,0.051,0.053,0.0,0.0,1.754,0.036
Kepler-131 b,0.051,0.011,0.011,0.011,0.011,0.215,0.018
Kepler-131 c,0.026,0.019,0.019,0.019,0.019,0.075,0.006
Kepler-138 b,0.00021,0.00012,0.00019,0.0,0.0,0.047,0.003
Kepler-138 c,0.0062,0.00352,0.00602,0.0,0.0,0.107,0.006
Kepler-138 d,0.00201,0.00122,0.00212,0.00107,0.00132,0.108,0.007
Kepler-138 e,0.00135,0.0003,0.00066,0.0,0.0,0.67535,0.0
Kepler-139 d,0.01466,0.006,0.006,0.0,0.0,1.695,0.06
Kepler-139 e,1.34,0.13,0.13,0.13,0.13,0.67535,0.0
Kepler-139 f,0.113,0.031,0.031,0.0,0.0,0.67535,0.0
Kepler-13 Ab,9.28,0.16,0.16,0.0,0.0,1.512,0.035
Kepler-145 b,0.117,0.036,0.036,0.0,0.0,0.236,0.007
Kepler-145 c,0.25,0.052,0.052,0.0,0.0,0.385,0.011
Kepler-14 Ab,8.4,0.19,0.19,0.0,0.0,1.136,0.054
Kepler-150 f,0.0283,0.00475,0.00431,0.0,0.0,0.325,0.035
Kepler-1513 Ab,0.152,0.061,0.104,0.0,0.0,0.76671,0.00196
Kepler-1513 Ac,0.2659,0.063,0.098,0.063,0.098,0.67535,0.0
Kepler-1514 b,5.28,0.22,0.22,0.0,0.0,1.108,0.025
Kepler-15 b,0.66,0.09,0.09,0.0,0.0,0.96,0.07
Kepler-160 d,0.31463,0.0,0.0,0.0,0.0,0.67535,0.0
Kepler-1625 b,11.6,11.6,0.0,0.0,0.0,0.541,0.047
Kepler-1647 (AB)b,1.52,0.65,0.65,0.0,0.0,1.06,0.01
Kepler-1654 b,0.5,0.0,0.0,0.0,0.0,0.819,0.17
